Bowlers,Wickets
Yuzvendra Chahal,17
Jasprit Bumrah,11
Kuldeep Yadav,11
Rashid Khan,11
Josh Hazlewood,10
Kagiso Rabada,10
Avesh Khan,10
Umran Malik,9
Wanindu Hasaranga,9
T Natarajan,8
Maheesh Theekshana,7
Mohsin Khan,7
Lockie Ferguson,7
Andre Russell,7
Daniel Sams,7
Harshal Patel,6
Dwayne Bravo,6
Prasidh Krishna,6
Mohammed Shami,5
Shardul Takur,4
Ravi Bishnoi,4
Hardik Pandya,4
Umesh Yadav,4
Mukesh Choudhary,4
Odean Smith,4
Kuldeep Sen,4
Krunal Pandya,3
Khaleel Ahmed,3
Harpreet Brar,3
Rahul Chahar,3
Ramandeep Singh,3
Moeen Ali,3
Chetan Sakariya,2
Axar Patel,2
Pradeep Sangwan,2
Murugan Ashwin,2
Mohammed Siraj,2
Prashant Solanki,2
Rilley Meredith,2
Tim Southee,2
Trent Boult,2
Washington Sundar,2
